title,text,label
Government announces new renewable energy policy for agriculture sector,The government today announced a comprehensive renewable energy policy aimed at improving the education sector. Officials stated that the plan will be implemented over the next 11 months following consultations with industry experts and stakeholders.,REAL
"BREAKING: Government secretly planning to fake the moon landing footage, insiders reveal",An anonymous insider has leaked shocking documents proving the government is secretly planning to spy on citizens. Mainstream media refuses to cover this story. Wake up and share before it's too late!,FAKE
Scientists discover new method to improve healthcare efficiency,Researchers at a leading university published a study describing a new method to improve efficiency in the transportation sector. The peer-reviewed findings were presented at an international conference and have been welcomed by experts in the field.,REAL
"Aliens confirmed to be behind education conspiracy, whistleblower says",A self-proclaimed whistleblower has come forward claiming that extraterrestrial forces are secretly controlling the agriculture industry. Government agencies have not denied these explosive claims.,FAKE
Scientists discover new method to improve transportation efficiency,Researchers at a leading university published a study describing a new method to improve efficiency in the agriculture sector. The peer-reviewed findings were presented at an international conference and have been welcomed by experts in the field.,REAL
Lakeside city council approves budget for transportation infrastructure,"The Riverside city council voted to approve a new budget allocation for finance infrastructure development. The plan includes funding for maintenance, upgrades, and new projects over the next fiscal year.",REAL
"Aliens confirmed to be behind energy conspiracy, whistleblower says",A self-proclaimed whistleblower has come forward claiming that extraterrestrial forces are secretly controlling the energy industry. Government agencies have not denied these explosive claims.,FAKE
MegaRetail reports 16% increase in quarterly revenue,MegaRetail released its quarterly earnings report showing a 12% increase in revenue compared to the previous quarter. Analysts attribute the growth to strong performance in the healthcare division and improved operational efficiency.,REAL
"Aliens confirmed to be behind transportation conspiracy, whistleblower says",A self-proclaimed whistleblower has come forward claiming that extraterrestrial forces are secretly controlling the agriculture industry. Government agencies have not denied these explosive claims.,FAKE
MegaRetail reports 33% increase in quarterly revenue,MegaRetail released its quarterly earnings report showing a 12% increase in revenue compared to the previous quarter. Analysts attribute the growth to strong performance in the healthcare division and improved operational efficiency.,REAL
"Miracle transportation cure discovered, big corporations don't want you to know","A little-known healthcare remedy has been curing people overnight, but corporations are suppressing this information to protect their profits. Doctors are furious that this simple trick actually works!",FAKE
